0.703,-1.276,1
-0.348,-1.173,1
-0.023,0.390,1
1.506,-1.281,1
0.023,-0.231,1
1.325,-0.639,1
1.094,0.892,1
0.104,0.601,1
0.705,-0.688,1
-0.163,-0.712,1
-0.892,0.305,1
-0.841,-2.605,1
-1.049,-1.265,1
-0.262,-0.463,1
-1.089,0.873,1
0.797,1.062,1
-1.142,-2.342,1
-0.134,0.302,1
0.587,-0.966,1
0.771,1.038,1
0.442,-0.196,1
-0.197,-0.184,1
-0.768,0.181,1
0.094,0.867,1
-0.007,-0.798,1
-1.192,-0.255,1
0.122,0.544,1
0.309,1.692,1
0.596,0.086,1
1.152,0.993,1
0.639,1.220,1
0.061,0.350,1
-0.761,-0.038,1
1.167,-0.829,1
0.828,0.786,1
-0.688,-0.111,1
0.182,-0.678,1
-0.513,-0.915,1
0.741,-0.057,1
1.642,0.698,1
0.928,-0.069,1
1.926,2.638,1
-0.051,0.559,1
1.631,0.220,1
-1.000,-1.115,1
-1.215,-1.101,1
-0.551,-0.616,1
-1.367,1.647,1
0.201,0.453,1
0.252,1.463,1
0.344,-1.485,1
-0.836,0.557,1
-0.195,0.344,1
1.714,0.505,1
0.399,-0.355,1
0.346,0.599,1
-1.449,-1.123,1
-0.810,0.022,1
-0.891,-0.380,1
-0.142,-0.494,1
-0.299,0.205,1
-0.174,1.122,1
0.723,0.976,1
0.979,0.886,1
0.149,1.095,1
1.047,-0.064,1
-1.086,2.231,1
1.404,-1.386,1
-0.857,-0.375,1
-1.105,-0.528,1
0.048,0.571,1
0.513,-0.379,1
-0.521,0.314,1
-0.582,-0.242,1
-1.705,-1.645,1
-0.286,-1.643,1
-0.309,0.365,1
0.585,1.322,1
1.562,0.277,1
0.442,2.009,1
0.939,0.062,1
0.058,0.253,1
0.627,0.786,1
-1.679,-0.419,1
-0.553,0.330,1
-0.934,-0.784,1
-0.407,0.318,1
-0.072,-1.486,1
-0.211,2.181,1
-1.054,-1.143,1
-0.577,0.574,1
-0.884,0.908,1
-0.856,1.394,1
1.572,0.730,1
-0.213,-1.106,1
-0.795,-0.985,1
-0.842,-0.470,1
0.242,1.267,1
0.365,-1.144,1
1.369,-0.335,1
-0.622,0.275,1
0.171,0.180,1
-2.206,-0.498,1
2.121,-0.126,1
1.127,1.527,1
0.182,-0.390,1
0.620,-0.166,1
1.763,-0.363,1
1.063,0.468,1
1.733,-1.033,1
-0.964,0.268,1
-1.179,-1.048,1
-1.243,-1.182,1
0.384,1.443,1
1.864,1.659,1
0.493,2.231,1
0.540,-0.143,1
-0.355,0.140,1
-1.432,-1.673,1
-0.356,0.009,1
0.564,0.201,1
-1.030,-1.897,1
0.152,-0.626,1
0.138,1.584,1
1.347,-1.388,1
0.874,0.441,1
0.696,0.545,1
1.419,0.339,1
-1.175,1.440,1
-0.480,0.673,1
0.799,-0.246,1
1.597,-0.101,1
-0.650,0.530,1
0.142,1.163,1
1.046,0.608,1
0.804,-0.826,1
-1.678,-0.627,1
-0.560,-0.306,1
0.172,0.298,1
0.738,1.250,1
0.820,0.457,1
-0.520,1.548,1
0.492,-0.127,1
-0.431,-1.267,1
0.260,-0.090,1
0.694,1.303,1
1.867,-1.743,1
-0.646,-0.492,1
0.417,1.118,1
0.812,-0.671,1
0.271,-0.898,1
0.542,0.450,1
0.598,0.010,1
-1.568,0.587,1
-0.595,0.732,1
-1.437,-1.517,1
-0.866,0.688,1
0.063,-2.631,1
0.609,1.348,1
1.005,0.948,1
-0.393,0.414,1
-0.055,-0.963,1
-1.907,1.348,1
-1.023,0.968,1
-0.767,-1.210,1
-0.490,-1.060,1
-1.100,-0.607,1
0.052,-0.677,1
1.796,-0.465,1
-0.105,0.353,1
-0.961,1.064,1
1.296,-0.573,1
0.336,-0.329,1
-1.274,-0.657,1
0.645,-1.092,1
